answer,predictions,exact_match,precision,recall,f1_score
adenosine,"and adenosine, her arrhythmia resolved. this [SEP]",0,1.0,0.14285714285714285,0.25
150,"of lamivudine / epivir use, 150 daily [SEP]",0,1.0,0.14285714285714285,0.25
1-2 tab,po q4h prn pain [SEP],0,0.0,0.0,0.0
a ct scan of the head,,0,0.0,0.0,0.0
an additional six days,[SEP],0,0.0,0.0,0.0
the ekg,non - specific st -,0,0.0,0.0,0.0
qd,,0,0.0,0.0,0.0
ap chest,,0,0.0,0.0,0.0
hba1c 08/22/2106 10.70 ,,0,0.0,0.0,0.0
secondary cardiac and neurological prophylaxis,,0,0.0,0.0,0.0
qd,[SEP],0,0.0,0.0,0.0
aspiration,,0,0.0,0.0,0.0
q8h,,0,0.0,0.0,0.0
q.6h. p.r.n.,,0,0.0,0.0,0.0
peripheral vascular disease,,0,0.0,0.0,0.0
her electrocardiogram,,0,0.0,0.0,0.0
the defects,2016 - 03 - 14. [SEP],0,0.0,0.0,0.0
2067-03-10,- 03 - 10 [SEP],0,0.0,0.0,0.0
2077-10-11,,0,0.0,0.0,0.0
a magnetic resonance angiography of his kidneys,,0,0.0,0.0,0.0
40 mg,##lo 1334 [SEP],0,0.0,0.0,0.0
pain,,0,0.0,0.0,0.0
120 mg,release 120 mg po qd [SEP],0,1.0,0.3333333333333333,0.5
bp,,0,0.0,0.0,0.0
a peak ck mb,,0,0.0,0.0,0.0
blood cultures,,0,0.0,0.0,0.0
qd,,0,0.0,0.0,0.0
qd,,0,0.0,0.0,0.0
levaquin,,0,0.0,0.0,0.0
physical examination,,0,0.0,0.0,0.0
a cardiac catheterization,", elevated right atrial pressure and moderate pulmonary hypertension. [SEP]",0,0.0,0.0,0.0
q.d.,"; coumadin 1 mg p. o. q. d. ; atrovent, two puffs q. i. d. ; [SEP]",0,0.0,0.0,0.0
the bleeding vessel,,0,0.0,0.0,0.0
anti-psuedomonal coverage for his diabetic foot ulcers.,,0,0.0,0.0,0.0
intermittent nausea,,0,0.0,0.0,0.0
lasix,,0,0.0,0.0,0.0
an mri scan of the spine,,0,0.0,0.0,0.0
hypercholesterolemia,history of bicuspid aortic valve with mild - to - moderate stenosis on recent echos,0,0.0,0.0,0.0
ace inhibitors,,0,0.0,0.0,0.0
antibiotics,"prescription for antibiotics, which [SEP]",0,1.0,0.2,0.33333333333333337
hd,,0,0.0,0.0,0.0
number of doses required (approximate): 4,,0,0.0,0.0,0.0
qd,,0,0.0,0.0,0.0
each day,,0,0.0,0.0,0.0
daily,,0,0.0,0.0,0.0
the ultrasound,,0,0.0,0.0,0.0
review of pathology,,0,0.0,0.0,0.0
her initial evaluation,,0,0.0,0.0,0.0
an magnetic resonance imaging study,,0,0.0,0.0,0.0
p.r.n.,with p. r. n. oxygen. [SEP],0,0.0,0.0,0.0
daily,,0,0.0,0.0,0.0
"head , eyes , ears , nose , and throat examination",,0,0.0,0.0,0.0
25 mg,,0,0.0,0.0,0.0
25 mg,,0,0.0,0.0,0.0
his neurologic exam,"notable for hemiplegia of his left arm, severe hemiparesis of his left leg, mild large fiber sensory loss in his left arm, and otherwise fairly intact mental status, cranial nerve function, and right sided motor and sensory function. [SEP]",0,0.3333333333333333,0.02564102564102564,0.047619047619047616
4l nc,,0,0.0,0.0,0.0
glucose (stat lab)               173 ,/ dl [SEP],0,0.0,0.0,0.0
1 tab,0. 4 mg ) 1 tab sl q5min x 3 [SEP],0,1.0,0.2,0.33333333333333337
number of doses required (approximate):10,,0,0.0,0.0,0.0
the peritoneal pancreatic fluid,"##neal pancreatic fluid, so that he was no longer on pressors. [SEP]",0,0.5,0.16666666666666666,0.25
30 mg,,0,0.0,0.0,0.0
3/0.5 mg,,0,0.0,0.0,0.0
cxr,,0,0.0,0.0,0.0
his throat pain,his throat pain after some decadron and clindamycin. [SEP],0,1.0,0.3333333333333333,0.5
once a day,", nifedi",0,0.0,0.0,0.0
2092-05-16,,0,0.0,0.0,0.0
 144/82 ,,0,0.0,0.0,0.0
2093-07-05,,0,0.0,0.0,0.0
heart disease,,0,0.0,0.0,0.0
tylenol,##ylenol at least twice daily to help improve you leg pain. [SEP],0,0.0,0.0,0.0
oxycodone,,0,0.0,0.0,0.0
25 mg,,0,0.0,0.0,0.0
asthma,,0,0.0,0.0,0.0
cad,"##osis, pvd, here for pcp and f / u of these and",0,0.0,0.0,0.0
chest pain,,0,0.0,0.0,0.0
inferior stemi,,0,0.0,0.0,0.0
q.4h. p.r.n.,,0,0.0,0.0,0.0
urinalysis,50 white blood cells with red blood cells too numerous to count and 2 + bacteria. [SEP],0,0.0,0.0,0.0
diarrhea,". i. d. p. r. n. for diarrhea, truvada one tablet [SEP]",0,1.0,0.09090909090909091,0.16666666666666669
electrocardiogram,,0,0.0,0.0,0.0
allopurinol,- allopurinol. [SEP],0,1.0,0.5,0.6666666666666666
ticlid,o. q. h. s.,0,0.0,0.0,0.0
coronary artery bypass graft,,0,0.0,0.0,0.0
ldl 115,,0,0.0,0.0,0.0
qd,,0,0.0,0.0,0.0
the pt 's vs,"##s, and initial hypertensive in the 140s. [SEP]",0,0.5,0.25,0.3333333333333333
pain,,0,0.0,0.0,0.0
7 days course,,0,0.0,0.0,0.0
the chest x-ray,,0,0.0,0.0,0.0
a swan-ganz catheter,,0,0.0,0.0,0.0
the basal lv,,0,0.0,0.0,0.0
hypertension,,0,0.0,0.0,0.0
afib,,0,0.0,0.0,0.0
cardiac catheterization,,0,0.0,0.0,0.0
mri,,0,0.0,0.0,0.0
physical examination,spry white female in no acute distress. [SEP],0,0.0,0.0,0.0
an mri of the liver,,0,0.0,0.0,0.0
ulnar displacement,,0,0.0,0.0,0.0
stat pathology,,0,0.0,0.0,0.0
tid.,,0,0.0,0.0,0.0
quite hypotensive,[SEP],0,0.0,0.0,0.0
tid,,0,0.0,0.0,0.0
t.i.d.,,0,0.0,0.0,0.0
elevated hemoglobin a1c up to 6.5,,0,0.0,0.0,0.0
an ng lavage,,0,0.0,0.0,0.0
trochanteric bursitis.,,0,0.0,0.0,0.0
left brachial artery embolectomy,,0,0.0,0.0,0.0
ibuprofen,,0,0.0,0.0,0.0
itching,,0,0.0,0.0,0.0
50 mg,,0,0.0,0.0,0.0
neurologic examination,"oriented x 3, slurred and slow speech, distractable. [SEP]",0,0.0,0.0,0.0
b.i.d.,,0,0.0,0.0,0.0
his tenuous respiratory status,"status, he was transferred to the ficu with closer observation. [SEP]",0,0.25,0.09090909090909091,0.13333333333333333
2062-07-21,,0,0.0,0.0,0.0
examination,had no evidence for weakness on examination with good proximal and distal strength in the lower extremities as well as intact sensation. [SEP],0,1.0,0.043478260869565216,0.08333333333333333
the skin exam,,0,0.0,0.0,0.0
5 mg,,0,0.0,0.0,0.0
