answer,predictions,exact_match,precision,recall,f1_score
adenosine,,0,0.0,0.0,0.0
150,,0,0.0,0.0,0.0
1-2 tab,,0,0.0,0.0,0.0
a ct scan of the head,,0,0.0,0.0,0.0
an additional six days,,0,0.0,0.0,0.0
the ekg,,0,0.0,0.0,0.0
qd,,0,0.0,0.0,0.0
ap chest,,0,0.0,0.0,0.0
hba1c 08/22/2106 10.70 ,,0,0.0,0.0,0.0
secondary cardiac and neurological prophylaxis,,0,0.0,0.0,0.0
qd,,0,0.0,0.0,0.0
aspiration,. [SEP],0,0.0,0.0,0.0
q8h,,0,0.0,0.0,0.0
q.6h. p.r.n.,,0,0.0,0.0,0.0
peripheral vascular disease,,0,0.0,0.0,0.0
her electrocardiogram,,0,0.0,0.0,0.0
the defects,he then went to the operating room on 2016 - 03 - 14 where he had resection of the left face squamous cell cancer by dr. langhorne and split thickness and full thickness skin grafting,0,0.5,0.030303030303030304,0.05714285714285715
2067-03-10,,0,0.0,0.0,0.0
2077-10-11,,0,0.0,0.0,0.0
a magnetic resonance angiography of his kidneys,of his kidneys which showed mild right - sided renal artery stenosis. [SEP],0,0.42857142857142855,0.25,0.3157894736842105
40 mg,##hoslo 1334 [SEP],0,0.0,0.0,0.0
pain,,0,0.0,0.0,0.0
120 mg,,0,0.0,0.0,0.0
bp,[SEP],0,0.0,0.0,0.0
a peak ck mb,,0,0.0,0.0,0.0
blood cultures,,0,0.0,0.0,0.0
qd,,0,0.0,0.0,0.0
qd,,0,0.0,0.0,0.0
levaquin,,0,0.0,0.0,0.0
physical examination,,0,0.0,0.0,0.0
a cardiac catheterization,,0,0.0,0.0,0.0
q.d.,"; atrovent, two puffs q. i. d. ; [SEP]",0,0.0,0.0,0.0
the bleeding vessel,"ir was consulted to identify the bleeding vessel with angiography, then perform embol",0,1.0,0.23076923076923078,0.375
anti-psuedomonal coverage for his diabetic foot ulcers.,,0,0.0,0.0,0.0
intermittent nausea,,0,0.0,0.0,0.0
lasix,,0,0.0,0.0,0.0
an mri scan of the spine,mri scan,0,0.3333333333333333,1.0,0.5
hypercholesterolemia,,0,0.0,0.0,0.0
ace inhibitors,,0,0.0,0.0,0.0
antibiotics,,0,0.0,0.0,0.0
hd,,0,0.0,0.0,0.0
number of doses required (approximate): 4,4 [SEP],0,0.16666666666666666,0.5,0.25
qd,,0,0.0,0.0,0.0
each day,,0,0.0,0.0,0.0
daily,,0,0.0,0.0,0.0
the ultrasound,,0,0.0,0.0,0.0
review of pathology,possible diagnosis,0,0.0,0.0,0.0
her initial evaluation,and it was felt she was dehydrated and / or anxious at the time of her initial evaluation. [SEP],0,1.0,0.16666666666666666,0.2857142857142857
an magnetic resonance imaging study,"##fication densities in the suprapatellar bursa region, also",0,0.0,0.0,0.0
p.r.n.,,0,0.0,0.0,0.0
daily,,0,0.0,0.0,0.0
"head , eyes , ears , nose , and throat examination",without bruits. [SEP],0,0.0,0.0,0.0
25 mg,,0,0.0,0.0,0.0
25 mg,,0,0.0,0.0,0.0
his neurologic exam,"at this time, his neurologic exam is notable for hemiplegia of his left arm, severe hemiparesis of his left leg, mild large fiber sensory loss in his left arm, and otherwise fairly intact mental status, cranial nerve",0,1.0,0.08108108108108109,0.15
4l nc,,0,0.0,0.0,0.0
glucose (stat lab)               173 ,,0,0.0,0.0,0.0
1 tab,tab sl q5min x 3 [SEP],0,0.5,0.16666666666666666,0.25
number of doses required (approximate):10,( approximate ) : 10 [SEP],0,0.0,0.0,0.0
the peritoneal pancreatic fluid,,0,0.0,0.0,0.0
30 mg,,0,0.0,0.0,0.0
3/0.5 mg,,0,0.0,0.0,0.0
cxr,vs atelectasis at the r lung base. [SEP],0,0.0,0.0,0.0
his throat pain,,0,0.0,0.0,0.0
